datetime,open,close,high,low,volume
2019-05-16,10.97,13.64,13.64,10.97,97304.7
2019-05-17,13.63,14.48,15.13,12.35,3138365.14
2019-05-20,13.43,12.8,14.07,12.8,1597512.89
2019-05-21,12.19,12.74,13.23,11.56,1754161.99
2019-05-22,12.33,11.96,12.5,11.87,1147198.79
2019-05-23,11.83,11.29,11.83,11.2,1134015.32
2019-05-24,11.05,11.11,11.5,11.04,645533.72
2019-05-27,11.18,11.25,11.31,11.05,658931.15
2019-05-28,11.2,10.84,11.21,10.75,1009759.47
2019-05-29,10.74,11.25,12.01,10.66,1278926.32
2019-05-30,11.24,11.32,11.43,10.93,811302.23
2019-05-31,11.23,11.65,11.98,11.18,1279662.39
2019-06-03,11.47,10.99,11.59,10.98,873395.14
2019-06-04,10.94,10.36,10.95,10.24,827382.85
2019-06-05,10.55,10.22,10.61,10.18,475281.58
2019-06-06,10.24,9.49,10.31,9.38,746734.66
2019-06-10,9.51,9.53,9.63,9.39,383634.28
2019-06-11,9.57,10.01,10.08,9.5,669461.99
2019-06-12,9.92,9.7,9.97,9.69,511810.4
2019-06-13,9.66,9.76,9.81,9.5,422780.07
2019-06-14,9.71,9.45,9.8,9.44,367954.94
2019-06-17,9.48,9.55,9.68,9.48,222864.7
2019-06-18,9.55,9.81,10.01,9.51,573376.03
2019-06-19,9.98,9.81,10.07,9.78,501852.68
2019-06-20,9.77,9.87,9.93,9.73,471832.76
2019-06-21,9.87,9.88,10.01,9.84,496732.17
2019-06-24,9.9,9.76,9.93,9.74,330349.74
2019-06-25,9.77,9.54,9.8,9.45,375987.21
2019-06-26,9.44,9.54,9.61,9.44,204747.34
2019-06-27,9.52,9.51,9.61,9.5,253541.89
2019-06-28,9.51,9.44,9.55,9.42,242190.93
2019-07-01,9.59,9.87,9.98,9.55,631737.43
2019-07-02,9.88,9.73,9.88,9.69,365001.17
2019-07-03,9.73,9.57,9.73,9.54,282458.47
2019-07-04,9.56,9.6,9.65,9.55,218098.27
2019-07-05,9.6,9.77,9.81,9.56,365505.44
2019-07-08,9.76,9.46,9.76,9.44,332368.64
2019-07-09,9.47,9.52,9.56,9.41,212970.21
2019-07-10,9.51,9.34,9.53,9.33,218679.13
2019-07-11,9.41,9.17,9.45,9.13,293256.27
2019-07-12,9.12,9.3,9.48,9.09,290140.68
2019-07-15,9.23,9.24,9.3,9.04,244098.87
2019-07-16,9.18,9.28,9.37,9.18,178833.79
2019-07-17,9.28,9.24,9.33,9.22,152215.29
2019-07-18,9.31,9.46,9.62,9.31,554676.03
2019-07-19,9.41,9.36,9.51,9.35,287754.52
2019-07-22,9.36,8.84,9.38,8.79,375757.9
2019-07-23,8.89,8.9,8.93,8.82,167704.34
2019-07-24,8.91,8.92,9.01,8.87,229727.02
2019-07-25,8.91,8.87,8.92,8.84,199436.32
2019-07-26,8.87,8.88,8.93,8.83,153908.81
2019-07-29,8.87,8.87,8.9,8.85,118283.56
2019-07-30,8.86,8.88,8.96,8.86,146119.45
2019-07-31,8.87,8.8,8.87,8.79,174068.06
2019-08-01,8.77,8.71,8.79,8.67,203485.4
2019-08-02,8.55,8.44,8.55,8.35,272310.62
2019-08-05,8.37,8.22,8.41,8.21,220223.12
2019-08-06,8.0,7.65,8.0,7.39,412768.01
2019-08-07,7.71,7.9,8.1,7.57,322477.73
2019-08-08,7.87,7.82,7.96,7.82,168854.74
2019-08-09,7.91,7.82,8.05,7.79,207632.1
2019-08-12,7.89,7.91,7.94,7.81,142308.03
2019-08-13,7.82,7.72,7.82,7.7,151713.92
2019-08-14,7.84,7.76,7.87,7.74,133514.71
2019-08-15,7.48,7.67,7.7,7.4,173449.23
2019-08-16,7.72,7.75,7.83,7.68,152047.88
2019-08-19,7.78,8.01,8.05,7.78,251768.19
2019-08-20,8.05,7.94,8.05,7.91,197663.29
2019-08-21,7.94,7.89,8.0,7.88,162852.14
2019-08-22,7.93,7.89,7.95,7.83,137571.36
2019-08-23,7.86,7.81,7.89,7.79,138330.94
2019-08-26,7.61,7.68,7.72,7.54,134828.74
2019-08-27,7.73,7.79,7.85,7.73,163374.68
2019-08-28,7.79,7.83,7.87,7.77,139844.3
2019-08-29,7.87,8.25,8.47,7.87,546551.68
